node,degree
alexa,1874
amazon,1259
siri,1252
ai,833
tech,705
echo,680
cortana,672
google,668
apple,615
amazonecho,546
technology,535
voice,523
iot,487
smarthome,449
googlehome,425
amazonalexa,410
news,380
googleassistant,348
iphone,343
heygoogle,302
microsoft,288
echodot,286
music,281
ios,273
voicefirst,272
artificialintelligence,259
technews,257
business,256
assistant,251
android,241
homepod,241
home,231
smart,229
machinelearning,214
video,213
ces2018,203
security,193
gadgets,188
innovation,186
digital,184
app,180
funny,179
privacy,178
vui,178
aws,178
marketing,176
tv,174
mobile,174
speaker,171
skills,170
apps,163
smartspeaker,161
primeday,158
facebook,157
voiceassistant,151
fire,148
virtualassistant,146
chatbots,145
ml,143
seo,143
ces,143
amazonprime,139
ecommerce,138
shopping,134
future,134
nlp,134
windows10,132
firetv,132
devices,131
new,131
streaming,131
windows,130
usa,130
podcast,129
skill,129
cloud,128
free,126
iphonex,125
data,124
retail,124
fintech,123
chatbot,123
automation,122
homeautomation,121
smartspeakers,121
vr,120
superbowl,120
youtube,119
love,118
design,118
robot,117
tablet,117
rt,117
bots,116
wifi,116
deals,116
sonos,115
ipad,114
ar,114
spotify,113
lol,112
kids,112
camera,112
echoshow,111
gadget,111
christmas,110
audio,109
it,109
alexaskills,108
smartphone,106
hd,106
healthcare,104
gear,104
bigdata,104
cybersecurity,104
dot,103
how,103
internet,103
ads,103
digitalassistant,101
ux,101
voicecontrol,101
health,100
sex,99
voiceassistants,99
howto,98
archive,98
summary,97
electronics,96
developers,96
device,96
humor,96
samsung,95
canada,92
computing,92
homekit,91
startup,91
porn,91
review,91
wearables,91
advertising,90
okgoogle,90
control,90
bixby,89
radio,89
media,88
deal,87
robots,87
black,87
ask,86
twitter,86
speakers,86
hardware,86
echospot,86
arri,85
digitalmarketing,85
uk,85
smartphones,83
robotics,83
phone,83
applewatch,83
rankbio,83
software,82
ifttt,82
hot,82
india,81
fun,81
office,81
blog,81
voicesearch,80
assistants,80
socialmedia,80
and,80
remote,80
works,80
entertainment,79
online,79
sales,78
developer,77
win,77
ad,77
games,77
analytics,76
cx,76
virtualassistants,76
trends,75
website,74
travel,74
search,73
deeplearning,73
you,73
applemusic,72
best,71
4k,71
creepy,71
show,70
blockchain,70
gaming,70
itunes,70
comedy,70
lighting,69
nest,69
infosec,69
prime,69
big,69
computer,68
watson,68
ibm,68
digitalassistants,67
bluetooth,67
azure,67
tips,67
wwdc18,67
engadget,66
rank,66
mac,66
weather,65
fail,65
wireless,65
sexy,65
tunein,65
work,64
trump,64
kindle,64
the,64
bot,64
ios12,64
halo,63
ios11,63
mini,63
videos,63
fashion,63
blackfriday,62
enterprise,62
girl,62
instagram,62
family,62
diy,61
internetofthings,61
smarthomes,61
tc,61
money,61
lights,61
giveaway,60
startups,60
in,60
heysiri,60
anal,60
model,60
china,60
insights,60
wtf,59
holiday,59
car,59
netflix,59
conversation,59
banking,59
alexaskill,58
amazonechodot,58
with,58
tesla,58
wwdc,57
can,57
av,57
women,57
food,57
play,57
xxx,57
handsfree,56
display,56
macos,56
bbc,56
cool,56
jokes,56
computers,56
digitaltransformation,56
digitalhealth,55
edtech,55
tablets,55
insurtech,55
dev,55
light,55
follow,55
spying,55
help,54
voicetech,54
api,54
podcasts,53
brands,53
us,53
voicerecognition,53
speech,53
entrepreneur,53
ring,53
brand,52
hackers,52
cars,52
askalexa,52
wednesdaywisdom,52
chat,51
applenews,51
set,51
phones,50
fitness,50
teen,50
london,50
awesome,50
payments,50
amazonprimeday,50
mom,49
sony,49
firestick,49
parenting,49
thermostat,49
content,49
cute,49
have,49
books,49
commercial,49
superbowllii,49
voicexp,48
her,48
geek,48
virtual,48
traffic,48
hack,48
realestate,48
bitcoin,48
research,48
homebot,48
services,48
language,48
children,48
a,47
uber,47
dsntech,47
googlehomemini,47
hard,47
productivity,47
learning,47
smartcity,47
life,47
xbox,47
jeffbezos,47
wwdc2018,47
prescientinfo,47
amazing,46
shazam,46
laptop,46
appstore,46
augmentedreality,46
blonde,46
art,46
integration,46
movies,46
firetvstick,45
reinvent,45
python,45
watch,45
features,45
drones,44
text,44
connectedhome,44
smarttv,44
starwars,44
gamedev,44
accessories,44
xmas,44
workplace,44
hp,44
of,44
firetvcube,44
dl,43
amazons,43
sale,43
echoplus,43
spreaker,43
drone,43
ui,43
ge,43
xboxone,43
fridayfeeling,43
support,43
hospitality,43
itrtg,43
movie,43
beautiful,43
roku,43
