node,centrality
alexa,0.14598287574813562
siri,0.08832168346530446
amazon,0.05345581147219061
cortana,0.04979213514637725
tech,0.039015504043909854
google,0.03824042410621718
apple,0.03353028772986929
ai,0.029896163507076492
voice,0.02944664341045183
echo,0.02895732319153679
amazonecho,0.026768549126300938
technology,0.02591094528217608
heygoogle,0.022140905426458985
googlehome,0.021741241994961958
amazonalexa,0.02062300577252989
smarthome,0.019413380590367867
news,0.01834668323838333
iphone,0.016461585557662875
iot,0.016417827776973343
googleassistant,0.015162672360855885
video,0.013099531062329844
echodot,0.011936004794219576
voicefirst,0.011889779715629408
artificialintelligence,0.011411896221078213
microsoft,0.010927204760128217
business,0.010914161866275324
ios,0.010861492482186862
technews,0.009203420005597011
funny,0.008784744027294367
music,0.008714778775101859
android,0.008183320137341014
assistant,0.008181961227781835
home,0.007340973824343455
tv,0.0070516977055118
app,0.006891786812246979
usa,0.006706767838589749
homepod,0.0066343395194178225
skills,0.006398979252332477
smartspeaker,0.006208928418031607
retail,0.0061326729339551
skill,0.006071521025258352
facebook,0.00605031800159704
ads,0.0060470520800791
marketing,0.006001749108456841
free,0.005970198116523645
alexaskills,0.005874151183314716
smart,0.005803434525722757
aws,0.005444859019366767
new,0.005231729399180416
search,0.005228705524301429
love,0.005180194909902253
podcast,0.005145603765172954
echoshow,0.005043577983226066
vui,0.004694014991593994
security,0.004682582337910626
it,0.00460178981895325
apps,0.004553523015332059
innovation,0.004495547825492282
ces2018,0.00448821179537515
speaker,0.004442947665203937
healthcare,0.00431893907955114
lol,0.004285611119988752
sales,0.004244699075772954
beautiful,0.004140912418496555
black,0.004097565409209415
ad,0.004045846655509101
phone,0.004043976861658666
primeday,0.004004200867172534
smartphone,0.003974590096579595
virtualassistant,0.003969699661720513
windows10,0.003909892181160631
mother,0.0038428340111693253
gadgets,0.003813984480069444
windows,0.003722588643384183
rt,0.0036894015469850724
youtube,0.003673248587834948
voiceassistant,0.0036464945791867716
okgoogle,0.003621869830605483
halo,0.0035331100559633424
alexabliss,0.003527221962264947
big,0.003476843100332469
streaming,0.0034323728703065286
blog,0.003412047498913385
fail,0.003399410251679677
arri,0.0033858339435963994
iphonex,0.0033850770413832013
porn,0.003380598015740132
digital,0.003335733109149391
bigboobs,0.0032864324302876876
podcasts,0.003243512006470435
