edge,centrality
"('heygoogle', 'biggov')",0.001000031199183648
"('heygoogle', 'rhop')",0.0009927974790221758
"('heygoogle', 'podernfamily')",0.0009376720572588234
"('heygoogle', 'releasethememo')",0.0007603309700481468
"('heygoogle', 'croatia')",0.0007496461910718101
"('heygoogle', 'jesuschrist')",0.0007463010579983292
"('heygoogle', 'maythe4thbewithyou')",0.0006880238133673923
"('heygoogle', 'iphone')",0.0006446894020016196
"('heygoogle', 'lenovoces')",0.0006371818788223865
"('heygoogle', 'artificialintelligence')",0.000634685975895644
"('heygoogle', 'zwave')",0.000603342000162849
"('heygoogle', 'modeling')",0.0005985337503510649
"('heygoogle', 'video')",0.0005966452073067236
"('heygoogle', 'humpday')",0.0005831404443388793
"('echodot', 'heygoogle')",0.000565110376160771
"('heygoogle', 'ios')",0.000549392073357945
"('heygoogle', 'podbean')",0.0005280428041722988
"('heygoogle', 'whowantstobeamillionaire')",0.0005258271523176637
"('heygoogle', 'music')",0.0005177665614979299
"('heygoogle', 'retweet')",0.0004853994705437308
"('heygoogle', 'podcast')",0.00046709120222117545
"('heygoogle', 'homepod')",0.00045802178454435816
"('heygoogle', 'structureddata')",0.00045375436185515484
"('heygoogle', 'prizes')",0.00043584779663110093
"('heygoogle', 'giveaway')",0.0004308505419659521
"('virtualassistant', 'heygoogle')",0.00039471598006702256
"('heygoogle', 'bts')",0.0003893832903481755
"('heygoogle', 'oneplus6')",0.00038549424771966326
"('heygoogle', 'oneplus6t')",0.0003854942477196632
"('heygoogle', 'mom')",0.0003831992015497278
"('heygoogle', 'app')",0.0003777633732529216
"('heygoogle', 'voiceassistant')",0.00037710669372682223
"('heygoogle', 'blog')",0.00037402025733299104
"('heygoogle', 'sales')",0.0003724950244177316
"('heygoogle', 'black')",0.00037081028911828005
"('heygoogle', 'love')",0.00035060402308652934
"('echoshow', 'heygoogle')",0.00034869359838468194
"('heygoogle', 'fashion')",0.0003429015682645054
"('heygoogle', 'mwc18')",0.00034260731664004186
"('samsung', 'heygoogle')",0.0003377856830655023
"('heygoogle', 'mcafee')",0.00033419841364736556
"('sleep', 'heygoogle')",0.0003338022012532799
"('heygoogle', 'threelions')",0.0003264174230522127
"('halo', 'heygoogle')",0.0003212851666821539
"('speaker', 'heygoogle')",0.0003192012636844957
"('heygoogle', 'indian')",0.00031419751424831163
"('heygoogle', 'lgbt')",0.0003128423259199227
"('heygoogle', 'olympics')",0.00030954606900600724
"('heygoogle', 'digital')",0.00030575353328825126
"('heygoogle', 'work')",0.00030405564348210605
"('heygoogle', 'aliens')",0.0003016603091699106
"('heygoogle', 'hiphop')",0.0002978698300133938
"('heygoogle', 'the')",0.0002907854029105426
"('heygoogle', 'live')",0.0002885197403357886
"('heygoogle', 'scottish')",0.0002883158268360472
"('heygoogle', 'smartspeakers')",0.0002842476509499135
"('heygoogle', 'breaking')",0.0002840634855457215
"('heygoogle', 'keynote')",0.00028327957969732616
"('heygoogle', 'xbox')",0.00028143026801313
"('heygoogle', 'cx')",0.000278933536099925
"('heygoogle', 'design')",0.0002777867486415821
"('heygoogle', 'startup')",0.00027629357004567575
"('heygoogle', 'homeautomation')",0.00027618119968659903
"('heygoogle', 'data')",0.0002761709156927305
"('heygoogle', 'disney')",0.00027613155604437807
"('heygoogle', 'chromebook')",0.0002760185146380064
"('heygoogle', 'feminism')",0.00026728280638570683
"('heygoogle', 'camera')",0.0002612406037671167
"('heygoogle', 'wtf')",0.00025979945605705454
"('bots', 'heygoogle')",0.0002565255835335012
"('heygoogle', 'america')",0.00025637203602711076
"('heygoogle', 'internationalwomensday')",0.00025595730713267716
"('heygoogle', 'trump')",0.0002545534574547099
"('heygoogle', 'automation')",0.00025299068300151486
"('heygoogle', 'logitech')",0.00025051258901785314
"('heygoogle', 'happy')",0.0002491152206577398
"('heygoogle', 'iphonex')",0.0002459845543605637
"('heygoogle', 'humor')",0.0002444178880837249
"('heygoogle', 'googlehomemini')",0.00024241847173165054
"('heygoogle', 'fakenews')",0.00024002935081493852
"('heygoogle', 'nfl')",0.00023954565209833933
"('heygoogle', 'weather')",0.0002389490031421314
"('heygoogle', 'qanon')",0.00023419073854276897
"('heygoogle', 'flyeaglesfly')",0.00022903240547931795
"('heygoogle', 'ar')",0.00022511359744297306
"('heygoogle', 'advertising')",0.00022135051544646618
"('heygoogle', 'goodmorning')",0.00021740096705682633
"('heygoogle', 'io18')",0.00021653491060906276
"('heygoogle', 'fun')",0.000216246046818408
"('heygoogle', 'travel')",0.00021587330981332977
"('heygoogle', 'dadlife')",0.00021424978962461793
"('heygoogle', 'money')",0.00021288527880747914
"('heygoogle', 'help')",0.00021222631024415706
"('heygoogle', 'blackmirror')",0.00020983640989882707
"('heygoogle', 'watson')",0.00020949242016187752
"('heygoogle', 'azure')",0.0002088139082955436
"('heygoogle', 'commercials')",0.00020604403171473724
"('heygoogle', 'seattle')",0.00020540148398228198
"('heygoogle', 'savage')",0.00019882742995390047
"('heygoogle', 'bathroom')",0.00019535868671658157
"('heygoogle', 'cooking')",0.0001927879981197884
"('heygoogle', 'breakingnews')",0.000190711264986469
"('heygoogle', 'thanks')",0.00018891096078940458
"('heygoogle', 'bitcoin')",0.0001869407556445306
"('heygoogle', 'saturdaymorning')",0.00018689417904778154
"('heygoogle', 'pixel2')",0.00018688533720340604
"('heygoogle', 'share')",0.00018674158072076914
"('heygoogle', 'awesome')",0.00018600824343742686
"('heygoogle', 'education')",0.0001799916188448165
"('heygoogle', 'police')",0.00017998737684474158
"('heygoogle', 'sundaymorning')",0.00017937338419214127
"('heygoogle', 'stem')",0.00017709842941215616
"('heygoogle', 'dev')",0.0001749399034123573
"('heygoogle', 'nest')",0.00017457462442610591
"('heygoogle', 'bigbrother')",0.00017385305606546506
"('heygoogle', 'huawei')",0.0001733076359703386
"('heygoogle', 'mac')",0.00017274248792586893
"('heygoogle', '3dprinting')",0.0001710442262016097
"('heygoogle', 'blackfriday')",0.0001693326278802037
"('heygoogle', 'intel')",0.00016807748453456916
"('heygoogle', 'cryptocurrency')",0.00016780174798539902
"('smartlock', 'heygoogle')",0.00016742037879905413
"('heygoogle', 'creepy')",0.00016708021923571973
"('heygoogle', 'fishing')",0.00016670389419475744
"('heygoogle', 'firstworldproblems')",0.00016054865576515813
"('heygoogle', 'notifications')",0.00015709533840929568
"('heygoogle', 'highered')",0.00015570145591792283
"('heygoogle', 'chrome')",0.00015392716888308988
"('heygoogle', 'mrx')",0.00015365375578394093
"('heygoogle', 'nyc')",0.0001531108285374926
"('heygoogle', 'repost')",0.000152802913439454
"('heygoogle', 'rap')",0.0001516210144403101
"('heygoogle', 'hue')",0.00015140000788253845
"('heygoogle', 'personalassistant')",0.00015081042233892864
"('heygoogle', 'august')",0.00015049523785089382
"('heygoogle', 'monday')",0.0001473022446820281
"('heygoogle', 'email')",0.00014600257696541373
"('heygoogle', 'appstore')",0.0001456352442278376
"('heygoogle', 'us')",0.0001452132660339171
"('heygoogle', 'womenintech')",0.00014496550547191383
"('heygoogle', 'manners')",0.0001410440590935906
"('heygoogle', 'lg')",0.00013685305153267942
"('heygoogle', 'smartdevices')",0.00013683490041062102
"('heygoogle', 'holidays')",0.0001339104555484819
"('heygoogle', 'branding')",0.00013162510154672525
"('heygoogle', 'joke')",0.00013135546913839146
"('heygoogle', 'bestbuy')",0.000131266393923233
"('heygoogle', 'feedly')",0.00012386800917501265
"('heygoogle', 'crypto')",0.0001222845506593908
"('heygoogle', 'hp')",0.00011088088576674623
"('heygoogle', 'sonosone')",0.00011023424241727401
"('heygoogle', 'useless')",0.00010679574067994505
"('heygoogle', 'thexfiles')",3.4513836928083565e-05
"('heygoogle', 'futureofwork')",3.230836411102751e-05
"('heygoogle', 'justsaying')",2.3811499586501376e-05
"('heygoogle', 'interoperability')",1.827138934994577e-05
"('heygoogle', 'icymi')",1.6454575532157036e-05
"('heygoogle', 'creative')",1.5485171945638027e-05
"('heygoogle', 'present')",1.2973137457389286e-05
"('heygoogle', 'salesforce')",1.01858734499374e-05
"('heygoogle', 'okaygoogle')",7.493753269251457e-06
"('heygoogle', 'wine')",7.478266320823157e-06
"('heygoogle', 'valentinesday')",6.764530106065142e-06
"('heygoogle', 'fridayfeeling')",6.494512903810524e-06
"('heygoogle', 'dad')",6.054154779847041e-06
"('heygoogle', 'atlanta')",5.550200037242087e-06
"('heygoogle', 'googlenow')",5.528482200493848e-06
"('heygoogle', 'follow')",5.296973020692634e-06
"('heygoogle', 'mondaymotivation')",5.285077753299607e-06
"('heygoogle', 'wow')",5.1439494783177755e-06
"('cortana', 'heygoogle')",5.0238706314318125e-06
"('heygoogle', 'np')",4.7168213380025e-06
"('heygoogle', 'singularity')",4.293379993020653e-06
"('heygoogle', 'ces18')",4.1421148735091055e-06
"('ask', 'heygoogle')",4.044226323657536e-06
"('heygoogle', 'soundbar')",3.954406026011111e-06
"('heygoogle', 'handsfree')",3.6348747341402836e-06
"('heygoogle', 'blockchain')",3.3879441856746074e-06
"('heygoogle', 'cybersecurity')",3.384553812632009e-06
"('voicesearch', 'heygoogle')",3.242993694715414e-06
"('heygoogle', 'eagles')",3.096759875252012e-06
"('heygoogle', 'life')",3.0233576550354707e-06
"('heygoogle', 'heyalexa')",2.938929295400588e-06
"('heygoogle', 'job')",2.8461358959240257e-06
"('heygoogle', 'patent')",2.8303680368176444e-06
"('heygoogle', 'hey')",2.7564644510746004e-06
"('heygoogle', 'technology')",2.694254400518785e-06
"('heygoogle', 'computer')",2.4824721896768443e-06
"('heygoogle', 'weird')",2.4479572888582796e-06
"('heygoogle', 'thursdaythoughts')",2.4216354537916374e-06
"('heygoogle', 'twitter')",2.3748160110578704e-06
"('heygoogle', 'hal')",2.308208494278648e-06
"('machinelearning', 'heygoogle')",2.2525288436126485e-06
"('heygoogle', 'uber')",2.249291584984803e-06
"('heygoogle', 'contentmarketing')",2.2467785499487864e-06
"('heygoogle', 'amazonalexa')",2.1783779110713106e-06
"('health', 'heygoogle')",2.1642035167926793e-06
"('heygoogle', 'robot')",2.037304400788576e-06
"('heygoogle', 'ifttt')",1.9925654650076616e-06
"('heygoogle', 'commercial')",1.813238220514256e-06
"('heygoogle', 'india')",1.6542421968806137e-06
"('heygoogle', 'marketing')",1.4744219729969536e-06
"('heygoogle', 'smarthomes')",1.301535447589494e-06
"('heygoogle', 'digitalassistant')",1.2593207645911895e-06
"('heygoogle', 'mobile')",1.2225335366367981e-06
"('heygoogle', 'netflix')",1.2181633327684738e-06
"('heygoogle', 'spotify')",1.1706016802762605e-06
"('heygoogle', 'christmas')",8.953813781137764e-07
"('heygoogle', 'donaldtrump')",4.9408722178140234e-08
"('alexa', 'heygoogle')",0.0
"('ai', 'heygoogle')",0.0
"('iot', 'heygoogle')",0.0
"('amazon', 'heygoogle')",0.0
"('siri', 'heygoogle')",0.0
"('amazonecho', 'heygoogle')",0.0
"('smarthome', 'heygoogle')",0.0
"('tech', 'heygoogle')",0.0
"('googlehome', 'heygoogle')",0.0
"('bixby', 'heygoogle')",0.0
"('assistant', 'heygoogle')",0.0
"('news', 'heygoogle')",0.0
"('ml', 'heygoogle')",0.0
"('google', 'heygoogle')",0.0
"('android', 'heygoogle')",0.0
"('home', 'heygoogle')",0.0
"('voice', 'heygoogle')",0.0
"('developer', 'heygoogle')",0.0
"('contest', 'heygoogle')",0.0
"('googleassistant', 'heygoogle')",0.0
"('heygoogle', 'okgoogle')",0.0
"('heygoogle', 'heysiri')",0.0
"('heygoogle', 'ad')",0.0
"('heygoogle', 'holiday')",0.0
"('heygoogle', 'gift')",0.0
"('heygoogle', 'sony')",0.0
"('heygoogle', 'hilarious')",0.0
"('heygoogle', 'thankyou')",0.0
"('heygoogle', 'googlemini')",0.0
"('heygoogle', 'smart')",0.0
"('heygoogle', 'mini')",0.0
"('heygoogle', 'heygoogoo')",0.0
"('heygoogle', 'ces2018')",0.0
"('heygoogle', 'ces')",0.0
"('heygoogle', 'vegas')",0.0
"('heygoogle', 'lasvegas')",0.0
"('heygoogle', 'lvmonorail')",0.0
"('heygoogle', 'seo')",0.0
"('heygoogle', 'funny')",0.0
"('heygoogle', 'apple')",0.0
"('heygoogle', 'demo')",0.0
"('heygoogle', 'sweet')",0.0
"('heygoogle', 'cesblackout')",0.0
"('heygoogle', 'teampixel')",0.0
"('heygoogle', 'innovation')",0.0
"('heygoogle', 'googleplay')",0.0
"('heygoogle', 'search')",0.0
"('heygoogle', 'amazing')",0.0
"('heygoogle', 'customerexperience')",0.0
"('heygoogle', 'instagram')",0.0
"('heygoogle', 'facebook')",0.0
"('heygoogle', 'vui')",0.0
"('heygoogle', 'lost')",0.0
"('heygoogle', 'askgoogle')",0.0
"('heygoogle', 'smarthacks')",0.0
"('heygoogle', 'jesus')",0.0
"('heygoogle', 'superbowl')",0.0
"('heygoogle', 'howto')",0.0
"('heygoogle', 'deals')",0.0
"('heygoogle', 'happybirthday')",0.0
"('heygoogle', 'winterolympics')",0.0
"('heygoogle', 'tags')",0.0
"('heygoogle', 'pixelart')",0.0
"('heygoogle', 'gamedev')",0.0
"('heygoogle', 'appdev')",0.0
"('heygoogle', 'vaporwave')",0.0
"('heygoogle', 'ads')",0.0
"('heygoogle', 'indiedev')",0.0
"('heygoogle', 'androiddev')",0.0
"('heygoogle', 'youtube')",0.0
"('heygoogle', 'smartassistant')",0.0
"('heygoogle', 'uk')",0.0
"('heygoogle', 'oscars')",0.0
"('heygoogle', 'bigshaq')",0.0
"('heygoogle', 'gmail')",0.0
"('heygoogle', 'sxsw')",0.0
"('heygoogle', 'future')",0.0
"('heygoogle', 'learning')",0.0
"('heygoogle', 'internet')",0.0
"('heygoogle', 'chicago')",0.0
"('heygoogle', 'womenshistorymonth')",0.0
"('heygoogle', 'privacy')",0.0
"('heygoogle', 'unboxing')",0.0
"('heygoogle', 'bigdata')",0.0
"('heygoogle', 'smartspeaker')",0.0
"('heygoogle', 'googleio')",0.0
"('heygoogle', 'technews')",0.0
"('heygoogle', 'yogoogle')",0.0
"('heygoogle', 'datascience')",0.0
"('heygoogle', 'askalexa')",0.0
"('heygoogle', 'aogdevs')",0.0
"('heygoogle', 'worldcup')",0.0
"('heygoogle', 'free')",0.0
