edge,centrality
"('siri', 'talkradio')",0.0020148094198294765
"('siri', 'video')",0.001902337223034617
"('siri', 'bigboobs')",0.0018527952041770465
"('siri', 'healthyliving')",0.0016223963035818276
"('siri', 'ads')",0.00142234336664498
"('siri', 'skill')",0.0013398105853908576
"('siri', 'rickross')",0.0013300445648994955
"('siri', 'marketing')",0.0012097185551829097
"('siri', 'windows')",0.0010773218299492792
"('siri', 'superbowl')",0.0010722838019480323
"('siri', 'beautiful')",0.0010025940683632106
"('siri', 'wrestlemania')",0.001000957785891554
"('siri', 'serp')",0.0010005669237856864
"('siri', 'cognition')",0.001
"('siri', 'rockyhorror')",0.001
"('siri', 'いいお尻の日')",0.001
"('siri', 'nycacc')",0.001
"('siri', 'pogdogs')",0.001
"('siri', 'issafriday')",0.001
"('siri', 'sega')",0.001
"('siri', 'womenshistorymonth')",0.001
"('siri', 'makeanapp')",0.001
"('siri', 'accidentlyfamous')",0.001
"('siri', 'manie')",0.001
"('siri', 'reps')",0.001
"('siri', 'npjr')",0.001
"('siri', 'newiphone')",0.001
"('siri', 'joy')",0.000999682287782296
"('siri', 'myname')",0.0009994997498749374
"('siri', 'seyong')",0.0009994997498749374
"('siri', 'sridevi')",0.0009994997498749374
"('siri', 'nomore')",0.0009994997498749374
"('siri', 'jenlisa')",0.0009994997498749374
"('siri', 'blackpinkhouse')",0.0009994997498749374
"('siri', 'fire')",0.0009984042889189919
"('siri', 'naturalboobs')",0.000997658995162129
"('siri', 'asseveryday')",0.0009974987493746872
"('siri', 'sexyasfuck')",0.0009974987493746872
"('siri', 'retreat')",0.0009782914616753486
"('siri', 'lake')",0.0009734896206293507
"('siri', 'boobsglobalgroup')",0.0009620550691635665
"('siri', 'funnyvideos')",0.0009556556251347631
"('siri', 'alexabliss')",0.0009534366650091567
"('siri', '100daysofcode')",0.000950942019036002
"('siri', 'chat')",0.0009346269253488661
"('siri', 'losemyaccent')",0.0009258360152903428
"('siri', 'woman')",0.0009080357175872485
"('siri', 'optimize')",0.0008846520826232223
"('siri', 'improve')",0.0008822022496443063
"('siri', 'halo')",0.0008796731548354512
"('siri', 'presidenttrump')",0.0008698340049795185
"('siri', 'beautifulpakistan')",0.0008641288871265134
"('siri', 'kp')",0.0008641288871265134
"('siri', 'dot')",0.0008519408704379675
"('siri', 'gadget')",0.0008407786357522887
"('siri', 'knorox')",0.0008298602063000677
"('siri', 'tholukuthiheyy')",0.0008298602063000677
"('siri', 'pressplay')",0.0008298602063000677
"('siri', 'online')",0.0008285498833812728
"('siri', 'bpm')",0.0008206323597410123
"('siri', 'heysiri')",0.0008203530157582373
"('siri', 'snl')",0.0008063766826352694
"('siri', 'a')",0.0008036469719371659
"('siri', 'hard')",0.0008027927820599163
"('siri', 'masterchief')",0.0008004354966408906
