node,centrality
alexa,0.15265830235918712
siri,0.10170942800135165
amazon,0.06122663335907518
cortana,0.04640349952249361
google,0.03941667715558305
amazonecho,0.03641223492923944
apple,0.0330045355798382
ai,0.032758415607863585
tech,0.03215228030426437
echo,0.02543644749582248
technology,0.02486803783197978
heygoogle,0.021265844838584336
voice,0.021231084633499032
news,0.019527503677798593
amazonalexa,0.018580437602995273
googlehome,0.018434676625951697
smarthome,0.017099211504532773
iot,0.01557450981115634
iphone,0.015083511662385947
video,0.012855277132377559
googleassistant,0.011979040377168996
business,0.0117642937999371
echodot,0.01113264319848194
ios,0.011078672497964445
voicefirst,0.010351040708801159
artificialintelligence,0.010119188300359811
microsoft,0.009605721907561912
android,0.009548213084524554
music,0.009240379214195073
technews,0.009167454446436053
facebook,0.00892774450238621
marketing,0.008057805175147627
assistant,0.007715917299773969
skills,0.0076285594925625325
funny,0.007206283189257127
home,0.006939174411715337
voiceassistant,0.006870805226702478
healthcare,0.006853130176562241
alexandriaocasiocortez,0.006785182714625295
usa,0.006753487635225251
alexaskills,0.006478766913909641
smart,0.006415941957461776
lol,0.006315045402249174
podcast,0.005895725844065441
smartspeaker,0.005857954403908263
new,0.005837965158285875
apps,0.005689413321087952
tv,0.0056396024485849605
ads,0.005593921481021948
app,0.005355017173343031
