edge,centrality
"('alexa', 'learningdisabilities')",0.003958492356654325
"('alexa', 'retail')",0.0032941672824181533
"('alexa', 'free')",0.0032271391383378585
"('alexa', 'grasmere')",0.002996998499249625
"('alexa', 'echoshow')",0.0026606849840014853
"('alexa', 'smartphone')",0.002302409344503905
"('alexa', 'black')",0.0021946424917393278
"('alexa', 'sales')",0.002184358445733677
"('alexa', 'phone')",0.0021565887064126225
"('alexa', 'podcasts')",0.0020380528677920134
"('alexa', 'fail')",0.002033102577262314
"('alexa', 'porn')",0.002001626161743852
"('alexa', 'electronics')",0.0019357502956584606
"('alexa', 'family')",0.0018877032611577076
"('alexa', 'london')",0.001868501681105673
"('alexa', 'digitalassistants')",0.0018655500071593806
"('alexa', 'halo')",0.0018515679588673917
"('alexa', 'mother')",0.001838904659783295
"('alexa', 'big')",0.0018209166020233016
"('alexa', 'invoke')",0.001732790348435007
"('alexa', 'voicerecognition')",0.0017175542996070126
"('alexa', 'wwdc')",0.0016798091241559615
"('alexa', 'hard')",0.0015941024358030497
"('alexa', 'computers')",0.0015840121788963395
"('alexa', 'insight')",0.0015117620820287966
"('alexa', 'text')",0.0015031935757736222
"('alexa', 'ps4')",0.0014922162943515201
"('alexa', 'features')",0.001476210384012563
"('alexa', 'bbc')",0.001473104416373383
"('alexa', 'xboxone')",0.0014478707393816733
"('alexa', 'lights')",0.001438635313829387
"('alexa', 'financial')",0.0014014888369290417
"('alexa', 'techtuesday')",0.0013764569066333852
"('alexa', 'alexaforbusiness')",0.0013080078508588906
"('alexa', 'today')",0.0012889071245181392
"('alexa', 'guide')",0.0012725116636415567
"('alexa', 'smartwatch')",0.001270406547494751
"('alexa', 'halloween')",0.0012362133785980597
"('alexa', 'xbox')",0.0012237451961164035
"('alexa', 'light')",0.0012207723067596216
"('alexa', 'social')",0.0012040859219578609
"('alexa', 'customerservice')",0.0011944286390706215
"('alexa', 'eavesdropping')",0.0011770724600591437
"('alexa', 'lake')",0.0011678101425319362
"('alexa', 'happy')",0.0011575643258312143
"('alexa', 'latest')",0.0011423266436358704
"('alexa', 'learning')",0.00114154534768716
"('alexa', 'development')",0.0011275286500311724
"('alexa', 'catholic')",0.0010983605390016546
"('alexa', 'voiceactor')",0.001096171868029243
"('alexa', 'googleranking')",0.001090091333234964
"('alexa', 'igreport')",0.0010830008735116523
"('alexa', 'plug')",0.001063917584949487
"('alexa', 'lenovo')",0.0010498952327140532
"('alexa', 'historicalfiction')",0.001
"('alexa', 'energetic')",0.001
"('alexa', 'nausea')",0.001
