edge,centrality
"('cortana', 'eurovision')",0.002795254340772306
"('cortana', 'dorkypickuplines')",0.002243110042812933
"('cortana', 'csharpcon18')",0.001998999499749875
"('iot', 'cortana')",0.001509570300151267
"('cortana', 'singapore')",0.0011822838562516298
"('cortana', 'echodot')",0.0010971571852896904
"('cortana', 'wrestlemania')",0.0010915642162347416
"('cortana', 'vaporwave')",0.0010724468076193365
"('cortana', 'fifa2018')",0.001
"('cortana', 'w10')",0.0009994997498749376
"('cortana', 'bluescreenofdeath')",0.0009994997498749376
"('cortana', 'azurefunctions')",0.0009885442094686864
"('cortana', 'alexainternet')",0.0009079154556347332
"('cortana', 'voiceover')",0.0008570606478465178
"('cortana', 'cryptos')",0.0007722934387719735
"('cortana', 'hay')",0.0007722243197094311
"('cortana', 'tv')",0.000756896989533537
"('cortana', 'openvoice')",0.0007399934491289814
"('cortana', 'aws')",0.0007399574212704905
"('cortana', 'space')",0.0007285281370462708
"('cortana', 'oscars')",0.0007262073098346991
"('cortana', 'boobs')",0.0007229689217587009
"('cortana', 'bliss')",0.0007124785550410308
"('cortana', 'usa')",0.0007025499341929816
"('cortana', 'kubernetes')",0.000696376486681928
"('cortana', 'marketing')",0.0006939916936396938
"('cortana', 'bills')",0.0006894557526501769
"('cortana', 'chris')",0.0006846692983589324
"('cortana', 'alex')",0.0006816503228451138
"('cortana', 'dyk')",0.0006495290826658542
"('cortana', 'new')",0.0006163158080583169
"('cortana', 'needtoknow')",0.000608677335215939
"('cortana', 'itunes')",0.0005987906289566906
"('cortana', 'primeday')",0.0005907303821433235
"('cortana', 'blog')",0.0005886563264252625
"('cortana', 'aexa')",0.0005625796077107423
"('cortana', 'teams')",0.0005570685012072068
"('cortana', 'youtube')",0.0005384249465239318
"('cortana', 'mom')",0.0005341496112302783
"('cortana', 'voiceassistants')",0.0005258947443260013
"('cortana', 'winning')",0.0005049522067727223
"('cortana', 'lgbt')",0.0004935428015668198
"('cortana', 'financial')",0.0004912376855434563
"('cortana', 'big')",0.0004889268053857027
"('cortana', 'france')",0.00048795707756887083
"('cortana', 'black')",0.0004737021840491868
"('cortana', 'streaming')",0.0004715753162107071
"('cortana', 'donaldtrump')",0.000470190291213033
"('cortana', 'shade')",0.0004686289090290245
"('cortana', 'yoga')",0.0004607390267304025
"('cortana', 'meetup')",0.0004606746873139827
"('cortana', 'voicetech')",0.0004576092005265026
"('cortana', 'ethereum')",0.00045392716528027945
"('cortana', 'ces')",0.0004529067410426002
"('cortana', 'linux')",0.0004524328962307468
"('cortana', 'voicecontrol')",0.00045204362290488203
"('cortana', 'health')",0.0004518139417846284
"('cortana', 'socialmedia')",0.0004442339416383559
"('cortana', 'mwc18')",0.0004387711023595116
"('cortana', 'applewatch')",0.000431119589025748
"('cortana', 'available')",0.00042147434663259304
"('cortana', 'filehistory')",0.0004200884657023266
"('cortana', 'trump')",0.00041982934671093197
"('cortana', 'ibm')",0.0004196406129536034
"('cortana', 'dad')",0.00041559138409189966
"('cortana', 'qanon')",0.00041340853281997665
"('cortana', 'family')",0.0004117748890654936
"('cortana', 'india')",0.0004110151128110822
"('cortana', 'androidnews')",0.00040809570249179
"('cortana', 'blind')",0.0004060893076964093
"('cortana', 'phishing')",0.00040320905856424907
"('cortana', 'fucked')",0.00040297705469095923
"('cortana', 'coding')",0.00039664554838339386
"('cortana', 'robotics')",0.00039105930672525053
"('cortana', 'web')",0.0003874802301273576
"('cortana', 'wwdc')",0.00038728779282689327
"('cortana', 'travel')",0.00038707932514699475
"('cortana', 'superbowllii')",0.0003861459782611747
"('cortana', 'iotsecurity')",0.0003855853850745
"('halloween', 'cortana')",0.00038547847802965647
"('cortana', 'heysiri')",0.0003851628101887603
"('cortana', 'brain')",0.00038225209456761125
"('cortana', 'party')",0.00038184558957136944
"('cortana', 'b2b')",0.00038172760138827913
"('cortana', 'podcasts')",0.00037988160127147173
"('cortana', 'firetv')",0.00037876582534738645
"('cortana', 'fun')",0.0003755643844094763
"('cortana', 'set')",0.0003748354856490571
"('techtuesday', 'cortana')",0.0003745172818665186
"('cortana', 'worldcup2018')",0.0003743224377073802
"('cortana', 'smartphones')",0.0003701278039685253
"('cortana', 'microsoftbuild')",0.00036869192515542616
"('cortana', 'chromebook')",0.000361381398447788
"('cortana', 'listen')",0.0003569410731450668
"('cortana', 'chief')",0.00035117529635357526
"('cortana', 'gameofthrones')",0.00035063600079016674
"('cortana', 'first')",0.0003498247746262056
"('cortana', 'sports')",0.0003471756589252817
"('cortana', 'website')",0.00034667014979142355
"('cortana', 'iiot')",0.00034406809313267426
"('cortana', 'wwdc18')",0.0003419957833813325
"('cortana', 'easteregg')",0.0003403060554359044
"('cortana', 'tuesdaythoughts')",0.000335613068917433
"('cortana', 'kids')",0.00033468011834760495
"('cortana', 'applemusic')",0.0003321732356361583
"('cortana', 'adult')",0.0003307068816959678
"('cortana', 'reading')",0.00032880134178419896
"('cortana', 'remote')",0.00032869551226689806
"('cortana', 'customerservice')",0.00032624980877788275
"('cortana', 'deepmind')",0.00032612113772336805
"('cortana', 'halo')",0.0003234352095365243
"('cortana', 'metoo')",0.0003225777823977462
"('cortana', 'date')",0.00032254793689865985
"('cortana', 'askgoogle')",0.000322030245196571
"('cortana', 'ios11')",0.0003201233118884808
"('cortana', 'bbc')",0.0003199918006599452
"('cortana', 'e3')",0.0003178495864203077
"('cortana', 'africa')",0.000317561949396326
"('cortana', 'experience')",0.0003174239573038276
"('cortana', 'today')",0.0003164310816153253
"('cortana', 'meme')",0.0003157936528957839
"('cortana', 'twitter')",0.00031281182759925684
"('cortana', 'culture')",0.00031265696727928864
"('cortana', 'ebay')",0.0003124710638944379
"('cortana', 'commercial')",0.0003124507381341345
"('cortana', 'collaboration')",0.0003103376527330557
"('cortana', 'assistants')",0.00030908655452502093
"('cortana', 'hands')",0.0003086914814087785
"('cortana', 'santa')",0.0003084050725323591
"('cortana', 'jokes')",0.0003078322752094328
"('cortana', 'martech')",0.00030442732381742255
"('cortana', 'safety')",0.00030189728458568545
"('cortana', 'market')",0.00030104500457236414
"('cortana', 'bmw')",0.00030020973661818183
"('cortana', 'io18')",0.00029937691253268425
"('cortana', 'radio')",0.0002992225620699238
"('cortana', 'review')",0.0002990118400070937
"('cortana', 'snrtg')",0.00029888420758786337
"('cortana', 'researchers')",0.0002962160521493415
"('cortana', 'help')",0.00029501837280433653
"('cortana', 'thanks')",0.00029495443422384383
"('cortana', 'books')",0.00029248064678529586
"('cortana', 'dogs')",0.00029148208866547115
"('cortana', 'games')",0.0002914701714446903
"('cortana', 'nsa')",0.00029084074163583727
"('cortana', 'movies')",0.00029077903376229994
"('cortana', 'cnet')",0.00029048062786235675
"('cortana', 'general')",0.0002899395982848164
"('cortana', 'pixel2')",0.00028969248083979363
"('cortana', 'speech')",0.0002884884489089826
"('cortana', 'creepy')",0.0002883149873020598
"('cortana', 'hindi')",0.0002877815858281702
"('cortana', 'opensource')",0.0002861323028069875
"('cortana', 'consumer')",0.0002847453625751597
"('cortana', 'play')",0.00028300135444969785
"('cortana', 'sale')",0.0002823762946722748
"('cortana', 'whatsapp')",0.0002817970135807622
"('cortana', 'ghost')",0.0002813906542836812
"('cortana', 'beta')",0.00028090645984468814
"('cortana', 'blackfridaydeals')",0.00028035257597662196
"('cortana', 'cute')",0.0002799317498470475
"('cortana', 'stupidquestionsforalexa')",0.00027875857439190794
"('cortana', 'e32018')",0.0002787376362820533
"('cortana', 'command')",0.00027866699196771983
"('cortana', 'bluetooth')",0.0002778145536708379
"('cortana', 'superbowl2018')",0.0002759176182359544
"('cortana', 'wow')",0.0002739960676696326
"('cortana', 'information')",0.0002715483778403023
"('cortana', 'bitcoin')",0.0002711097232265287
"('cortana', 'savage')",0.000270903074164523
"('cortana', 'cia')",0.0002706096124394375
"('cortana', 'story')",0.000269020058463451
