edge,centrality
"('alexa', 'learningdisabilities')",0.003958492356654325
"('alexa', 'retail')",0.0032941672824181533
"('alexa', 'free')",0.0032271391383378585
"('alexa', 'grasmere')",0.002996998499249625
"('cortana', 'eurovision')",0.002795254340772306
"('alexa', 'echoshow')",0.0026606849840014853
"('alexa', 'smartphone')",0.002302409344503905
"('cortana', 'dorkypickuplines')",0.002243110042812933
"('alexa', 'black')",0.0021946424917393278
"('alexa', 'sales')",0.002184358445733677
"('alexa', 'phone')",0.0021565887064126225
"('alexa', 'podcasts')",0.0020380528677920134
"('alexa', 'fail')",0.002033102577262314
"('siri', 'talkradio')",0.0020148094198294765
"('alexa', 'porn')",0.002001626161743852
"('cortana', 'csharpcon18')",0.001998999499749875
"('thermostat', 'heating')",0.001998999499749875
"('alexa', 'electronics')",0.0019357502956584606
"('siri', 'video')",0.001902337223034617
"('alexa', 'family')",0.0018877032611577076
"('alexa', 'london')",0.001868501681105673
"('alexa', 'digitalassistants')",0.0018655500071593806
"('siri', 'bigboobs')",0.0018527952041770465
"('alexa', 'halo')",0.0018515679588673917
"('talkradio', 'trumpkimsummit')",0.0018408836611751953
"('alexa', 'mother')",0.001838904659783295
"('alexa', 'big')",0.0018209166020233016
"('autism', 'love')",0.0018004562897399985
"('alexa', 'invoke')",0.001732790348435007
"('alexa', 'voicerecognition')",0.0017175542996070126
"('onairnow', 'eurovision')",0.0016836315373338533
"('alexa', 'wwdc')",0.0016798091241559615
"('siri', 'healthyliving')",0.0016223963035818276
"('usa', 'spygate')",0.001619094255825461
"('alexa', 'hard')",0.0015941024358030497
"('alexa', 'computers')",0.0015840121788963395
"('alexa', 'insight')",0.0015117620820287966
"('iot', 'cortana')",0.001509570300151267
"('alexa', 'text')",0.0015031935757736222
"('alexa', 'ps4')",0.0014922162943515201
"('smartspeaker', 'blogpost')",0.0014837077880231896
"('alexa', 'features')",0.001476210384012563
"('china', 'scotus')",0.0014735826457203873
"('alexa', 'bbc')",0.001473104416373383
"('feminism', 'snl')",0.0014637186441173724
"('seotools', 'ads')",0.0014530278112624162
"('alexa', 'xboxone')",0.0014478707393816733
"('alexa', 'lights')",0.001438635313829387
"('siri', 'ads')",0.00142234336664498
"('alexa', 'financial')",0.0014014888369290417
