edges,weight
"('alexa', 'amazon')",32874.0
"('alexa', 'talkradio')",5128.0
"('alexa', 'apple')",3719.0
"('heygoogle', 'ad')",3393.0
"('alexa', 'googlehome')",3162.0
"('alexa', 'homeautomation')",2971.0
"('siri', 'cortana')",2736.0
"('amazonecho', 'homeautomation')",2640.0
"('alexa', 'camiq')",2579.0
"('technews', 'camiq')",2578.0
"('apple', 'technews')",2558.0
"('alexa', 'tech')",2517.0
"('alexa', 'google')",2131.0
"('alexa', 'smarthome')",2109.0
"('siri', 'artificialintelligence')",2094.0
"('siri', 'virtualassistants')",1969.0
"('alexa', 'superbowl')",1634.0
"('alexa', 'website')",1575.0
"('alexa', 'seo')",1571.0
"('iot', 'siri')",1524.0
"('alexa', 'voice')",1447.0
"('amazon', 'google')",1373.0
"('amazon', 'jeffbezos')",1359.0
"('alexa', 'googleassistant')",1347.0
"('echo', 'usa')",1343.0
"('echo', 'virtualassistants')",1342.0
"('alexa', 'jeffbezos')",1323.0
"('alexa', 'blog')",1313.0
"('amazon', 'echo')",1286.0
"('alexa', 'aws')",1238.0
"('siri', 'apple')",1223.0
"('website', 'blog')",1220.0
"('amazon', 'tech')",1161.0
"('alexa', 'win')",1085.0
"('iot', 'amazon')",1022.0
"('cortana', 'microsoft')",989.0
"('smart', 'virtualassistants')",967.0
"('amazon', 'echodot')",962.0
"('smart', 'usa')",956.0
"('google', 'apple')",947.0
"('alexa', 'amazonalexa')",942.0
"('alexa', 'privacy')",933.0
"('alexa', 'prize')",927.0
"('siri', 'homepod')",922.0
"('free', 'prize')",913.0
"('alexa', 'cloudcomputing')",876.0
"('siri', 'cloudcomputing')",844.0
"('virtualassistants', 'cloudcomputing')",844.0
"('cortana', 'cloudcomputing')",839.0
"('artificialintelligence', 'cloudcomputing')",838.0
"('iot', 'tech')",837.0
"('iot', 'reinvent')",822.0
"('siri', 'digitalassistants')",808.0
"('cortana', 'windows')",808.0
"('iot', 'virtualassistants')",807.0
"('alexa', 'healthcare')",805.0
"('alexa', 'home')",777.0
"('googlehome', 'ces2018')",775.0
"('alexa', 'homepod')",772.0
"('speaker', 'siri')",772.0
"('amazon', 'aws')",769.0
"('artificialintelligence', 'digitalassistants')",755.0
"('windows', 'microsoft')",753.0
"('alexa', 'intelligent')",747.0
"('ai', 'echo')",740.0
"('siri', 'google')",740.0
"('iot', 'smarthome')",735.0
"('alexa', 'cumbria')",721.0
"('iot', 'artificialintelligence')",716.0
