edges,weight
"('alexa', 'amazon')",23174.0
"('alexa', 'iot')",6155.0
"('siri', 'apple')",3416.0
"('alexa', 'artificialintelligence')",3119.0
"('alexa', 'apple')",2983.0
"('alexa', 'camiq')",2579.0
"('technews', 'camiq')",2578.0
"('siri', 'cortana')",2542.0
"('amazonecho', 'homeautomation')",2533.0
"('alexa', 'amazonecho')",2222.0
"('alexa', 'siri')",2133.0
"('ai', 'iot')",2003.0
"('ai', 'virtualassistants')",1901.0
"('siri', 'google')",1788.0
"('alexa', 'amazonalexa')",1748.0
"('alexa', 'aws')",1686.0
"('alexa', 'rankbio')",1664.0
"('alexa', 'ces2018')",1661.0
"('alexa', 'website')",1575.0
"('google', 'seo')",1450.0
"('alexa', 'smart')",1392.0
"('alexa', 'technology')",1348.0
"('google', 'voicesearch')",1346.0
"('echo', 'usa')",1343.0
"('echo', 'virtualassistants')",1342.0
"('virtualassistants', 'usa')",1338.0
"('alexa', 'music')",1313.0
"('siri', 'iphone')",1238.0
"('website', 'blog')",1220.0
"('cortana', 'virtualassistants')",1134.0
"('cortana', 'artificialintelligence')",1070.0
"('echo', 'smart')",1053.0
"('alexa', 'fire')",1045.0
"('alexa', 'free')",992.0
"('alexa', 'googlehome')",968.0
"('smart', 'virtualassistants')",967.0
"('smart', 'usa')",956.0
"('google', 'apple')",950.0
"('cortana', 'microsoft')",949.0
"('alexa', 'digitalassistants')",947.0
"('alexa', 'skills')",937.0
"('alexa', 'prize')",927.0
"('siri', 'voiceactor')",903.0
"('amazon', 'amazonecho')",886.0
"('alexa', 'cloudcomputing')",874.0
"('ai', 'cloudcomputing')",847.0
"('siri', 'cloudcomputing')",844.0
"('virtualassistants', 'cloudcomputing')",844.0
"('cortana', 'cloudcomputing')",839.0
"('artificialintelligence', 'cloudcomputing')",838.0
