Source,Target,Type,Id,Label,timeset,Weight
1,1,Directed,10214,,,23
1,12366,Directed,12166,,,1
7,32721,Directed,13470,,,1
20,21,Directed,9378,,,1
20,982,Directed,9724,,,1
20,2334,Directed,9873,,,7
20,94530,Directed,12146,,,1
20,20,Directed,12147,,,1
20,827,Directed,12451,,,1
20,59198,Directed,12629,,,1
20,6081,Directed,12649,,,1
20,8116,Directed,12738,,,1
20,1652,Directed,13068,,,1
20,6040,Directed,13316,,,1
37,37,Directed,9524,,,12
39,41407,Directed,10783,,,1
39,41408,Directed,10784,,,1
39,1284,Directed,10785,,,1
43,48165,Directed,10956,,,1
46,46,Directed,9381,,,1
46,119,Directed,9382,,,1
48,119,Directed,9471,,,2
48,3929,Directed,9540,,,1
48,43,Directed,9560,,,2
48,1514,Directed,9738,,,1
48,48,Directed,9739,,,12
48,49,Directed,10213,,,2
48,1072,Directed,10250,,,1
48,8117,Directed,12042,,,1
48,1255,Directed,12347,,,3
48,115207,Directed,12735,,,3
49,659,Directed,10840,,,1
49,1571,Directed,11193,,,1
49,119,Directed,11521,,,2
49,3401,Directed,11522,,,2
49,413,Directed,12193,,,3
49,3107,Directed,12194,,,1
49,52119,Directed,13561,,,1
49,1865,Directed,13592,,,1
49,1652,Directed,13810,,,2
103,46,Directed,9415,,,1
103,1865,Directed,10414,,,3
103,103,Directed,10746,,,2
103,1061,Directed,10821,,,1
103,119,Directed,11178,,,1
103,46956,Directed,11523,,,1
103,982,Directed,11622,,,1
103,1652,Directed,12211,,,1
105,105,Directed,9487,,,1
105,106,Directed,9488,,,1
120,119,Directed,9379,,,64
130,131,Directed,9380,,,2
130,341,Directed,9390,,,1
130,119,Directed,9538,,,1
130,43,Directed,9772,,,1
130,2268,Directed,9820,,,1
130,374,Directed,9863,,,1
130,20878,Directed,10220,,,2
130,1012,Directed,10221,,,2
144,142,Directed,9391,,,1
144,144,Directed,9392,,,2
144,145,Directed,9393,,,2
144,103670,Directed,13984,,,1
145,142,Directed,9385,,,3
145,144,Directed,9386,,,4
145,145,Directed,9387,,,3
145,103670,Directed,13983,,,1
151,82286,Directed,13284,,,1
174,175,Directed,9383,,,26
174,177,Directed,9384,,,18
174,1251,Directed,9709,,,1
174,859,Directed,10338,,,7
174,11201,Directed,10607,,,3
174,374,Directed,11726,,,6
174,65631,Directed,11727,,,3
174,7045,Directed,11728,,,3
174,11583,Directed,12111,,,3
174,3929,Directed,12601,,,1
174,38817,Directed,14048,,,1
175,2391,Directed,9490,,,1
175,10052,Directed,9753,,,1
175,175,Directed,9754,,,4
175,14292,Directed,10106,,,2
175,5770,Directed,10107,,,2
175,4111,Directed,10130,,,1
175,48165,Directed,10954,,,1
175,1599,Directed,11464,,,2
175,374,Directed,11465,,,1
175,65631,Directed,11466,,,1
175,7045,Directed,11467,,,1
175,10161,Directed,12316,,,1
175,73729,Directed,12674,,,1
175,26688,Directed,12675,,,1
205,205,Directed,9399,,,716
205,13156,Directed,12382,,,1
