Id,Label,timeset,no_tweets,no_mentions
1,nigewillson,,34,379
7,livingsmoments,,1,119
20,johnkoetsier,,17,79
21,venturebeat,,0,236
24,technology,,0,28
30,amazonhelp,,6,266
32,engie_home_uk,,0,264
37,bennettstreet1,,12,36
39,microsoft,,3,1176
43,amazonecho,,1,3815
46,schlage_locks,,3,23
48,mikequindazzi,,29,5318
49,vertoanalytics,,15,303
100,alexa,,0,48
103,connectsense,,18,23
105,socialfave,,2,38
106,amitpaka,,0,38
112,android,,0,74
119,amazon,,0,15310
120,voiceappsllc,,64,2307
130,voicexpinc,,14,32
131,awsreinvent,,0,125
142,georgiagov,,0,18
144,nikofthehill,,9,22
145,prestonso,,20,21
151,google,,1,9023
174,lovemyecho,,83,101
175,alexadevs,,23,1616
177,alexadevnews,,0,24
180,realdonaldtrump,,0,1019
181,senatemajldr,,0,140
182,speakerryan,,0,138
191,designsbysiri,,0,32
205,amazonomy,,722,2415
214,control4,,3,30
217,cnet,,3,604
227,siriouslysusan,,19,5327
228,theswiftfest,,7,590
236,oneconvers,,10,332
250,barclaysaccess,,0,36
254,technygal,,5,15
255,debraruh,,12,121
294,akwyz,,13,125
325,medgizmo,,1,29
341,bretkinsella,,20,70
355,sudhakars,,0,24
361,energenie4u,,0,297
371,orangebankfr,,0,48
374,smarthouseaz,,547,2576
375,haashecuadorfc,,7,16
381,pandoramusic,,0,16
413,apple,,0,4613
414,spotify,,0,128
417,harmankardon,,0,66
431,jeffbezos,,0,377
442,nimble,,0,16
450,elonmusk,,0,90
454,googleindia,,0,31
457,ndtv,,0,19
463,alexabliss_wwe,,0,164
464,shahrizamahmud,,2,28
488,amazonin,,0,400
500,phsurvey2,,2,73
510,w3livenews,,66,66
529,ashishbishtvevo,,0,155
532,techtionary,,5,32
535,bgrindia,,41,39
542,stpiindia,,3,73
564,spotthedealusa,,6,19
572,tesla,,0,41
576,amit,,5,23
599,techgadgetsguru,,0,54
600,zuzudotai,,99,16
616,milenio,,0,35
659,thedrum,,4,83
663,cortana,,0,31
682,thetechlomedia,,1,30
709,hyperrts,,3,20
721,alexaweedbuddy,,565,158
724,sai,,0,39
738,jojobickley,,9,16
745,jameyedwards,,4,42
746,usatoday,,1,108
748,mobihealthnews,,1,17
753,unificationeng,,11,37
764,facebook,,0,59
767,julsimon,,5,87
785,reckel,,552,162
786,business,,0,31
788,pettroq,,0,21
791,kollege,,27,206
824,lesnums,,1,20
827,slashgear,,0,103
829,garmin,,0,28
840,appstore,,0,39
851,informationweek,,1,63
853,thedavedev,,99,206
858,sonos,,0,360
859,amazonmusic,,0,270
861,ringcentral,,4,20
897,excellentweb,,0,19
909,donnayoungdc,,83,56
913,ganjly420,,9,297
914,high_times_mag,,0,297
922,dagk,,0,33
927,tunein,,3,165
932,spreaker,,6,19
939,sengineland,,24,49
943,amazonappdev,,1,24
944,maxamorde,,70,199
954,amazonechoindia,,0,132
961,applesupport,,0,425
974,bespokenio,,25,43
975,goserverless,,4,28
982,engadget,,0,167
1012,evankirstel,,436,4536
1022,avanconia,,5,16
1023,acosta,,0,17
1061,appleinsider,,39,1160
1071,neiraosci,,38,53
1072,sbmeunier,,15,100
1100,netflixlat,,0,16
1115,halo,,0,84
1122,x0rz,,0,169
1134,marshacollier,,1,316
1142,saschawolter,,60,80
1149,ecobee,,0,64
1153,mac_and_i,,0,200
1173,garyvee,,0,294
1194,daviddlow,,107,45
1196,iphonehackx,,0,57
1241,simpletechman,,1,64
1247,whoisvaibhav,,2,20
1251,youtube,,0,847
1255,tamaramccleary,,5,466
1272,kuriharan,,58,145
1284,windows,,0,161
1290,tim_cook,,0,183
1291,cue,,0,16
1303,lorna_sheehan,,0,24
1366,beyondverbal,,29,21
1396,davidmsachs,,13,45
1416,alex_campoy,,18,84
1451,galvanize,,22,47
1459,amazonde,,4,193
1486,buttonpushapps,,72,20
1490,amazonuk,,0,549
1493,locationinsider,,7,20
1495,pymnts,,77,222
1498,salz_er,,27,45
1500,tomhewitson,,7,21
1514,mikedelgado,,14,86
1538,businessinsider,,0,91
1549,milkhoneyedland,,4,689
1552,oprah,,0,18
1562,smarthomerevs,,2,27
1571,adweek,,0,41
1585,sallyfrankie20,,233,76
1586,dorothychelimo2,,6,30
1587,harrie_shosh,,0,31
1588,lyndaoriaso,,0,108
1589,radiomaisha,,93,52
1591,enlihobino,,298,113
1595,drewfirment,,34,44
1596,darianbjohnson,,22,22
1597,theonlyakersh,,73,79
1598,accenture,,0,28
1599,glenncameronjr,,13,47
1604,voicebotai,,8,150
1608,sarbjeetjohal,,13,17
1612,rtm,,0,262
1625,muttonia,,137,104
1638,inc,,0,120
1652,techcrunch,,0,511
1658,stelligent,,20,22
1659,awscloud,,0,313
1669,dashbotio,,9,16
1691,geomarketing,,97,43
1706,u2,,0,16
1711,funnymix,,0,72
1734,applemusic,,0,77
1738,lostcreativity0,,0,49
1739,lostcreativity,,0,49
1810,mersive,,7,36
1815,dellcares,,6,19
1826,cnbc,,0,104
1834,hambysandiego,,21,18
1835,fm949sd,,21,38
1839,tado,,8,20
1843,qz,,0,176
1844,dbaker007,,45,19
1851,rachelbatish,,18,29
1858,sardonella,,48,98
1865,verge,,0,363
1880,angelosantoroit,,81,82
1881,comunemortale,,79,84
1884,gauravchowmean,,8,16
1890,chinitasvip,,9,148
1906,fr3quency_,,11,17
2057,necpc_pc,,0,29
2100,digihealthinfo,,0,20
2103,hubbucket,,133,129
2114,rosenchild,,137,69
2119,fintechrockers,,26,18
2146,mrfettfinger,,11,40
2179,3sidedcube,,11,19
2202,slobodan_,,4,23
2203,gizbot,,35,19
2215,tweethue,,0,58
2220,countluckula,,7,28
2221,jamielliottg,,20,34
2223,deanormond,,69,36
2241,donasarkar,,0,28
2252,taylorswift13,,0,18
2266,illusivesosa,,0,42
2268,asu,,0,304
2281,recode,,0,25
2306,igyaan,,0,51
2330,bedfordstrohm,,10,18
2334,forbes,,0,296
2344,windowscentral,,1,59
2348,nytimes,,0,163
2354,westworldhbo,,0,26
2363,solyarisoftware,,338,58
2383,itunespodcast,,0,122
2391,makersacademy,,9,19
2417,windowsblogita,,1,61
2421,voicefirstfm,,12,94
2425,ruhi_sarikaya,,28,64
2449,bestbuy,,1,243
2450,ankitkala99,,33,33
2458,bmw,,0,30
2461,wsj,,0,101
2469,xbox,,0,36
2471,siriusxm,,0,20
2479,dexlinxlisting,,1,21
2482,tact_ai,,41,27
2501,arrichannel,,17,197
2502,codecademy,,2,52
2504,mashable,,0,136
2523,gsterling,,0,78
2537,lolore_alexa,,23,31
2538,fab90s,,1,16
2560,bruceboyes,,0,50
2565,gilesalderson,,0,42
2566,thedaremovie,,6,42
2567,35mmdop,,0,42
2568,juliankostov,,0,42
2569,jonnydgrant,,0,42
2570,nuboyana,,0,42
2573,larrykim,,0,255
2580,iheartradio,,0,29
2584,supportiveguru,,0,19
2608,mobilepotpurri,,1,85
2620,mostlyboobz,,0,354
